ies,sector ies,caracter ies,departamento domicilio ies,municipio domicilio ies,programa academico,nivel academico,nivel formacion,metodología,sexo,anio,semestre,graduados,matriculados
GUATEMALA,GTM,C. GUATEMALA,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,4
ISRAEL,ISR,C. TEL AVIV,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,1
MEXICO,MEX,C. MEXICO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,145,1,1
BOLIVIA,BOL,C. LA PAZ,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,3
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,21,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,140,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,150,1,2
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO JOVEN,21,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,NO INDICA,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,12,150,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,147,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,150,1,2
ESPANIA,ESP,C. LAS PALMAS DE G.C,ADULTO JOVEN,21,MATEMATICAS Y CIENCIAS NATURALES,GEOLOGIA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,1
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,9
CANADA,CAN,C. CALGARY,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,OTRO PROGRAMA DE SALUD,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO JOVEN,21,NO INDICA,NO INDICA,NO INDICA,SOLTERO,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,CASADO,MASCULINO,12,150,1,1
