ies,sector ies,caracter ies,departamento domicilio ies,municipio domicilio ies,programa academico,nivel academico,nivel formacion,metodología,sexo,anio,semestre,graduados,matriculados
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,134,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,DESCONOCIDO,FEMENINO,12,150,1,1
COSTA RICA,CRI,C. SAN JOSE,ADULTO JOVEN,18,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,12,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,50
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,150,1,2
ARUBA,ABW,C. ARUBA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
ECUADOR,ECU,C. TULCAN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,13,120,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,47
PORTUGAL,PRT,C. LISBOA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,150,1,1
ARUBA,ABW,C. ARUBA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,5
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,DESCONOCIDO,DESCONOCIDO,11,150,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,145,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,130,1,2
VENEZUELA,VEN,C. BARINAS,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. MARACAIBO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,78
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,1
VENEZUELA,VEN,C. SAN ANT DE TACHIRA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,145,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,18,BELLAS ARTES,DISENIO,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,12,150,1,1
ESPANIA,ESP,C. LAS PALMAS DE G.C,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,01,150,1,3
MEXICO,MEX,C. GUADALAJARA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,110,1,1
CHINA,CHN,C. SHANGHAI,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,06,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,13,134,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,12,150,1,3
PERU,PER,C. LIMA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,3
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,130,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,CIENCIAS DE LA EDUCACION,EDUCACION,PREGRADO - TECNOLOGICO,SOLTERO,MASCULINO,12,150,1,2
ARUBA,ABW,C. ARUBA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,2
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,01,150,1,2
MEXICO,MEX,C. MEXICO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,122,1,1
CANADA,CAN,C. CALGARY,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,12,150,1,2
CANADA,CAN,C. CALGARY,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,8
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,2
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,125,1,1
ECUADOR,ECU,C. ESMERALDAS,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,01,150,1,5
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,148,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,13,150,1,2
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,115,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,143,1,1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,132,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,140,1,1
REINO UNIDO,GBR,C. LONDRES,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,150,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,13,150,1,2
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,150,1,1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,137,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,CIENCIAS DE LA EDUCACION,EDUCACION,PREGRADO - TECNOLOGICO,SOLTERO,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,BELLAS ARTES,DISENIO,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,12,150,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,150,1,1
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,150,1,2
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,18,CIENCIAS DE LA SALUD,MEDICINA,PREGRADO - PROFESIONAL,DESCONOCIDO,FEMENINO,12,150,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,28
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,12,155,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,140,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNICO PROFESIONAL,UNION_LIBRE,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,18,CIENCIAS DE LA SALUD,ODONTOLOGIA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,MATEMATICAS Y CIENCIAS NATURALES,OTROS PROGRAMAS DE CIENCIAS NATURALES,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,13,150,1,2
SUECIA,SWE,C. ESTOCOLMO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,132,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,141,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,132,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,128,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,168,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,DESCONOCIDO,FEMENINO,11,140,1,1
PERU,PER,C. LIMA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,03,150,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,140,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,12,150,1,2
RUSIA,RUS,C. MOSCU,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
MEXICO,MEX,C. GUADALAJARA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,33
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,155,1,1
ANTILLAS HOLANDESAS,NLD,C. WILLEMSTAD,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,1
VENEZUELA,VEN,C. PUERTO ORDAZ,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,7
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,140,1,2
REINO UNIDO,GBR,C. LONDRES,ADULTO JOVEN,18,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,2
ECUADOR,ECU,C. ESMERALDAS,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,5
GUATEMALA,GTM,C. GUATEMALA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,12,150,1,1
HONDURAS,HND,C. TEGUCIGALPA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,18,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,10
REINO UNIDO,GBR,C. LONDRES,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,145,1,1
MEXICO,MEX,C. MEXICO,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,150,1,2
VENEZUELA,VEN,C. SAN CRISTOBAL,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,13,130,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,145,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,144,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,7
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,12,155,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,150,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,BELLAS ARTES,ARTES DRAMATICAS Y REPRESENTATIVAS,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,01,150,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,12,162,1,1
VENEZUELA,VEN,C. BARINAS,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,130,1,1
CANADA,CAN,C. CALGARY,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,16
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,13,135,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,12,137,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,18,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
CANADA,CAN,C. CALGARY,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,148,1,1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,145,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,136,1,1
SUECIA,SWE,C. ESTOCOLMO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,2
RUSIA,RUS,C. MOSCU,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,13,141,1,1
PANAMA,PAN,C. COLON,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,4
ECUADOR,ECU,C. STO DOM COLORADOS,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,18,NO INDICA,AVIACION,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
AUSTRALIA,AUS,C. SYDNEY,ADULTO JOVEN,18,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,12,140,1,2
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,18,NO INDICA,AVIACION,NO INDICA,SOLTERO,MASCULINO,13,150,1,1
ITALIA,ITA,C. MILAN,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,130,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,151,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,11,120,1,1
BOLIVIA,BOL,C. LA PAZ,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NO INDICA,AVIACION,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,1
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,4
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,12,130,1,1
ITALIA,ITA,C. MILAN,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,7
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,140,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,18,NO INDICA,NO INDICA,NO INDICA,SOLTERO,FEMENINO,12,143,1,1
ALEMANIA,DEU,C. BERLIN,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,2
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,13,140,1,1
CHILE,CHL,C. ANTOFAGASTA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,01,150,1,15
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),SOLTERO,FEMENINO,12,150,1,1
CANADA,CAN,C. OTTAWA,ADULTO JOVEN,18,CIENCIAS DE LA SALUD,ODONTOLOGIA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,12,150,1,1
SUIZA,CHE,C. BERNA,ADULTO JOVEN,18,CIENCIAS DE LA EDUCACION,EDUCACION,PREGRADO - PROFESIONAL,DESCONOCIDO,FEMENINO,13,150,1,1
AUSTRALIA,AUS,C. SYDNEY,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,4
CANADA,CAN,C. CALGARY,ADULTO JOVEN,18,CIENCIAS DE LA SALUD,ODONTOLOGIA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
MEXICO,MEX,C. MEXICO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,150,1,1
PANAMA,PAN,C. COLON,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,3
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,2
PANAMA,PAN,C. PUERTO OBALDIA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,03,150,1,2
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
REINO UNIDO,GBR,C. LONDRES,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,141,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,147,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,18,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,157,1,1
CANADA,CAN,C. CALGARY,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,130,1,2
COSTA RICA,CRI,C. SAN JOSE,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,5
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
BRASIL,BRA,C. MANAOS,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
PARAGUAY,PRY,C. ASUNCION,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,13,155,1,1
VENEZUELA,VEN,C. PUERTO ORDAZ,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,11,130,1,2
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,150,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,110,1,1
ESTADOS UNIDOS,USA,C. SAN JUAN PTO RICO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ITALIA,ITA,C. MILAN,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,140,1,2
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,12,140,1,1
BRASIL,BRA,C. SAO PAULO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,150,1,1
SUECIA,SWE,C. ESTOCOLMO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
GUATEMALA,GTM,C. GUATEMALA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,4
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,BELLAS ARTES,OTRO PROGRAMA DE BELLAS ARTES,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,13,150,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,137,1,1
LIBANO,LBN,C. BEIRUT,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,150,1,2
ITALIA,ITA,C. ROMA,ADULTO JOVEN,18,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,152,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,18,NINGUNA,NINGUNA,PRIMARIA,DESCONOCIDO,FEMENINO,13,150,1,1
MEXICO,MEX,C. MEXICO,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,01,150,1,1
BELGICA,BEL,C. BRUSELAS,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,117,1,1
MEXICO,MEX,C. CANCUN,ADULTO JOVEN,18,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
HONDURAS,HND,C. TEGUCIGALPA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,18,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,140,1,3
CANADA,CAN,C. TORONTO,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,4
SUIZA,CHE,C. BERNA,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,155,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,18,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,150,1,1
AUSTRIA,AUT,C. VIENA,ADULTO JOVEN,18,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,3
